id,brand,s_count,s_start,s_year
1,BBQ치킨,1659 ,경기,1995
2,BHC,1456 ,서울,1997
3,페리카나,1176 ,대전,1982
4,네네치킨,1167 ,경기,1999
5,맘스터치,1146 ,서울,1998
6,교촌치킨,1037 ,경북,1991
7,굽네치킨,1018 ,김포,2005
8,처갓집양념치킨,1016 ,대구,2002
9,호식이두마리치킨,858 ,대구,1999
10,멕시카나,787 ,대구,1989
11,또래오래,667 ,일산,2001
12,또봉이통닭,553 ,용인,2011
13,지코바치킨,474 ,부산,1994
14,맥시칸치킨,369 ,대구,1985
15,썬더치킨,399 ,서울,2005
16,부어치킨,391 ,서울,2005
17,티바두마리치킨,304 ,부산,2002
18,노랑통닭,292 ,부산,2009
19,자담치킨,236 ,서울,2011
20,투존치킨,217 ,제주,2007
21,오븐에꾸운닭,178 ,경남,2012
22,오븐에빠진닭,125 ,서울,2012
23,후라이드참잘하는집,155 ,서울,2017
24,푸라닭치킨,145 ,서울,2014
